src_ip,download_amount,upload_amount,upload_download_ratio,connection_count
192.168.108.75,473064604,52344922,0.11065068398142086,5293
192.168.108.73,482496221,52343231,0.10848422997286024,5254
192.168.108.72,470108354,51228931,0.1089726029416614,5128
192.168.108.200,454384212,50022600,0.1100887721864773,5065
192.168.108.22,478099651,50831765,0.10632043946001542,5045
192.168.108.65,479942005,50374055,0.10495862932439097,5038
192.168.108.128,468950261,50919760,0.10858243237015705,5026
192.168.108.12,466300241,50583714,0.10847885021787926,5024
192.168.108.196,476292799,50787649,0.10663115022236563,4976
192.168.108.104,442981193,48896985,0.11038162742046703,4958
192.168.108.144,444633349,49118040,0.11046863693528305,4897
192.168.108.90,443285015,48982320,0.11049847917823254,4882
192.168.108.153,439005130,48695782,0.1109230363663404,4862
192.168.108.24,453721788,49105232,0.10822762604470738,4810
192.168.108.179,442565200,48751742,0.11015719717682276,4796
192.168.108.55,439917806,48122005,0.10938862747465149,4740
192.168.108.15,451418427,48057431,0.10645872681666138,4700
192.168.108.161,435616278,45697859,0.10490392877375442,4624
192.168.108.29,422287903,46197945,0.1093991674206211,4576
192.168.108.103,413010687,45789627,0.11086789867982279,4571
192.168.108.79,412047740,45606506,0.11068257770325352,4569
192.168.108.14,410755170,44244951,0.10771611468700443,4469
192.168.108.44,406122613,44749020,0.11018598464498701,4434
192.168.108.26,400031409,44231964,0.11057122767077522,4434
192.168.108.139,404824864,43571507,0.10763051105477553,4405
192.168.108.48,401109439,44001543,0.10969959497761907,4395
192.168.108.18,404333878,43487469,0.10755336459835305,4351
192.168.108.113,380739839,42520775,0.11167934280709721,4246
192.168.108.197,388148702,41780568,0.10764062274256941,4232
192.168.108.109,385576482,42269662,0.10962717897301631,4182
192.168.108.95,393872533,42084315,0.10684754958528678,4180
192.168.108.94,387373779,41519675,0.1071824611030268,4167
192.168.108.32,383353873,41590575,0.1084913390192878,4128
192.168.108.190,391588227,41124675,0.10502020276518681,4128
192.168.108.101,386279173,41721552,0.10800880533106039,4078
192.168.108.207,364716048,40144323,0.11007007566609738,4057
192.168.108.66,370387541,40687201,0.10985034996088057,4019
192.168.108.42,384258813,41811916,0.10881185957340685,4009
192.168.108.194,366714111,40376094,0.11010237345352658,3973
192.168.108.43,370460052,39299841,0.1060838835060143,3971
192.168.108.93,359505311,39608388,0.11017469502696721,3956
192.168.108.156,344749609,39315156,0.11403974065130847,3879
192.168.108.70,357137505,39325263,0.11011238654422476,3878
192.168.108.36,351895878,38622475,0.1097554061147599,3839
192.168.108.181,349588912,38905159,0.11128830939580829,3823
192.168.108.62,352399311,37513535,0.10645178304562576,3749
192.168.108.185,342303127,37022741,0.10815776450677882,3718
192.168.108.102,355055241,37422498,0.10539908633541337,3688
192.168.108.203,336139153,36845148,0.1096127828941129,3667
192.168.108.189,325393245,36076782,0.1108713304727638,3624
192.168.108.33,351573647,36350255,0.10339300260465768,3594
192.168.108.199,343212943,36022067,0.10495544452704396,3577
192.168.108.124,343324553,35180163,0.10246911469800996,3560
192.168.108.35,331678797,35204467,0.10614023964878286,3536
192.168.108.51,317573770,35722004,0.11248411353368384,3528
192.168.108.137,325299359,35065048,0.10779316660135195,3512
192.168.108.126,318322944,35109369,0.11029481117138701,3497
192.168.108.23,320431635,34905394,0.10893242173170574,3482
192.168.108.110,321857227,34299656,0.10656792242853692,3450
192.168.108.98,313962118,34589287,0.11017025627276474,3442
192.168.108.68,315062380,34710169,0.11016919570022927,3426
192.168.108.58,322814646,34835294,0.1079111323839997,3399
192.168.108.155,311243216,34673038,0.11140174698618974,3398
192.168.108.114,313846221,33980742,0.10827194889181094,3380
192.168.108.166,317050024,33898352,0.10691799222194666,3372
192.168.108.106,324606589,34091847,0.10502512319612835,3361
192.168.108.86,312760049,33921137,0.10845738484968712,3320
192.168.108.96,301099785,33170456,0.1101643297420488,3316
192.168.108.188,297942988,32736717,0.10987577596556829,3284
192.168.108.176,302297914,33340135,0.11028900120031923,3258
192.168.108.108,305663070,33040712,0.10809520430453047,3230
192.168.108.27,300614530,32880705,0.10937829585283186,3208
192.168.108.193,290174321,31041084,0.10697391792983639,3152
192.168.108.92,294325481,31595098,0.10734747767217613,3072
192.168.108.192,284401897,30146069,0.10599812911937082,2971
192.168.108.52,258092545,28726482,0.1113030289193359,2844
192.168.108.69,272469958,28866926,0.10594535343232225,2823
192.168.108.164,260253643,28566875,0.10976551440626713,2799
192.168.108.34,259163332,27999572,0.10803832387831779,2775
192.168.108.170,248573450,27318687,0.10990187005088435,2746
192.168.108.162,254905706,26927108,0.10563556392103675,2743
192.168.108.177,248191639,26585032,0.10711493790489857,2716
192.168.108.38,254080786,25875723,0.10184053429368721,2653
192.168.108.57,246231048,27088772,0.11001363239943648,2613
192.168.108.206,236639270,25873799,0.1093385683618784,2612
192.168.108.64,237093787,25687925,0.1083449942954431,2569
192.168.108.107,224967266,24910296,0.11072853594620295,2540
192.168.108.151,221471684,24526311,0.11074242339711474,2464
192.168.108.149,227285339,24798281,0.10910638191229748,2411
192.168.108.54,217706730,23834745,0.10948097470390557,2389
192.168.108.74,223440043,23887211,0.10690658075106081,2385
192.168.108.80,226712929,23856835,0.10522926550871742,2362
192.168.108.82,217390292,23834408,0.109638787365905,2277
192.168.108.77,210845867,22264991,0.1055984227568473,2263
192.168.108.115,209805989,22746713,0.10841784406831208,2250
192.168.108.127,188018173,21565701,0.1147000880601047,2147
192.168.108.147,199486521,21433871,0.10744520929311309,2142
192.168.108.16,197780097,21128007,0.10682574900345003,2142
192.168.108.165,199487851,21400057,0.10727498889142878,2140
192.168.108.46,190587403,21221804,0.1113494578652714,2111
192.168.108.131,189859753,20689875,0.10897451762722982,2003
192.168.108.132,178343904,19379873,0.1086657439101479,1997
192.168.108.130,187078010,19752525,0.10558442972533223,1971
192.168.108.198,160889781,18136025,0.11272328725464546,1810
192.168.108.123,169452296,18055100,0.10654975132352293,1759
192.168.108.28,161377664,17492650,0.1083957318901332,1718
192.168.108.129,141847542,15734709,0.11092690629774889,1552
192.168.108.91,129323656,14952452,0.11562039353418836,1502
192.168.108.119,131895047,14171229,0.10744322339867698,1409
192.168.108.85,126203552,14196330,0.11248756294909988,1392
192.168.108.100,117866425,13165201,0.11169593885620947,1295
192.168.108.20,104560338,11697516,0.11187335679806237,1147
192.168.108.105,94776515,10283636,0.108504052929146,989
192.168.108.142,90584459,9811767,0.10831622894607121,967
192.168.108.61,79909098,8854694,0.11080958516137925,889
192.168.108.168,87103543,9453640,0.10853335782219559,883
192.168.108.150,74091984,8253755,0.11139875806268057,828
192.168.108.180,77640637,8134934,0.10477675498721115,824
192.168.108.89,45130224,5182347,0.11483096117581867,525
192.168.108.125,45532386,4604719,0.10113063260071634,501
192.168.108.201,35993165,3643568,0.10122944175651127,354
192.168.108.163,31278853,3439689,0.10996851451042658,341
192.168.108.117,6868505,842390,0.12264532092500478,91
192.168.108.71,2779973,303760,0.10926724827903005,38
